Date,Description,Amount,Month,Category
2025-01-10,Movie ticket,100.76,2025-01,Entertainment
2025-01-18,Donation,63.91,2025-01,Other
2025-01-23,Donation,111.68,2025-01,Other
2025-01-26,Restaurant bill,148.9,2025-01,Food
2025-01-14,Bus ticket,38.6,2025-01,Transportation
2025-01-09,Bus ticket,68.88,2025-01,Transportation
2025-01-29,Miscellaneous purchase,147.7,2025-01,Shopping
2025-01-02,Donation,75.35,2025-01,Other
2025-01-04,Miscellaneous purchase,78.31,2025-01,Shopping
2025-01-20,Books,91.88,2025-01,Other
2025-01-08,Uber ride,106.95,2025-01,Transportation
2025-01-10,Gas refill,22.8,2025-01,Transportation
2025-01-03,Books,64.48,2025-01,Shopping
2025-01-05,Donation,80.95,2025-01,Other
2025-01-03,Books,8.62,2025-01,Shopping
2025-01-26,Electronics,117.24,2025-01,Shopping
2025-01-15,Electronics,51.35,2025-01,Shopping
2025-01-11,Service fee,53.01,2025-01,Other
2025-01-16,Movie ticket,71.52,2025-01,Entertainment
2025-01-09,Coffee at cafe,117.21,2025-01,Food
2025-01-24,Restaurant bill,12.85,2025-01,Food
2025-01-24,Concert,86.54,2025-01,Entertainment
2025-01-10,Clothes,53.57,2025-01,Shopping
2025-01-05,Books,96.52,2025-01,Other
2025-01-02,Coffee at cafe,115.73,2025-01,Food
2025-01-14,Concert,31.03,2025-01,Entertainment
2025-01-22,Bus ticket,73.38,2025-01,Transportation
2025-01-29,Electronics,79.49,2025-01,Shopping
2025-01-20,Books,22.36,2025-01,Other
2025-01-15,Uber ride,7.36,2025-01,Transportation
2025-01-08,Service fee,81.48,2025-01,Other
2025-01-03,Gas refill,53.88,2025-01,Transportation
2025-01-29,Donation,76.2,2025-01,Other
2025-01-25,Books,73.33,2025-01,Shopping
2025-01-18,Miscellaneous purchase,27.73,2025-01,Other
2025-01-09,Movie ticket,55.72,2025-01,Entertainment
2025-01-05,Coffee at cafe,77.21,2025-01,Food
2025-01-10,Concert,76.13,2025-01,Entertainment
2025-01-16,Electronics,67.53,2025-01,Shopping
2025-01-23,Gas refill,129.61,2025-01,Transportation
2025-01-05,Movie ticket,141.27,2025-01,Entertainment
2025-01-27,Streaming subscription,141.71,2025-01,Entertainment
2025-01-18,Coffee at cafe,54.04,2025-01,Food
2025-01-22,Restaurant bill,104.93,2025-01,Food
2025-01-21,Service fee,42.0,2025-01,Other
2025-01-19,Coffee at cafe,78.37,2025-01,Food
2025-01-17,Books,149.93,2025-01,Shopping
2025-01-26,Grocery shopping,65.99,2025-01,Food
2025-01-18,Books,65.64,2025-01,Shopping
2025-01-21,Uber ride,92.43,2025-01,Transportation
2025-01-23,Uber ride,128.16,2025-01,Transportation
2025-01-13,Uber ride,101.51,2025-01,Transportation
2025-01-07,Gas refill,114.97,2025-01,Transportation
2025-01-28,Restaurant bill,61.03,2025-01,Food
2025-01-11,Miscellaneous purchase,95.57,2025-01,Shopping
2025-01-20,Electronics,117.42,2025-01,Shopping
