Date,Description,Amount,Month,Category
2025-02-09,Movie ticket,139.45,2025-02,Entertainment
2025-02-26,Uber ride,45.75,2025-02,Transportation
2025-02-19,Grocery shopping,10.16,2025-02,Food
2025-02-26,Donation,31.4,2025-02,Other
2025-02-15,Gas refill,62.9,2025-02,Transportation
2025-02-22,Donation,143.42,2025-02,Other
2025-02-03,Movie ticket,28.19,2025-02,Entertainment
2025-02-06,Movie ticket,77.15,2025-02,Entertainment
2025-02-25,Books,7.04,2025-02,Shopping
2025-02-25,Concert,148.69,2025-02,Entertainment
2025-02-27,Restaurant bill,69.76,2025-02,Food
2025-02-12,Gas refill,8.74,2025-02,Transportation
2025-02-18,Clothes,38.68,2025-02,Shopping
2025-02-25,Books,105.17,2025-02,Shopping
2025-02-17,Donation,104.1,2025-02,Other
2025-02-28,Electronics,23.56,2025-02,Shopping
2025-02-26,Bus ticket,90.55,2025-02,Transportation
2025-02-12,Clothes,93.2,2025-02,Shopping
2025-02-22,Bus ticket,6.62,2025-02,Transportation
2025-02-12,Bus ticket,27.66,2025-02,Transportation
2025-02-07,Grocery shopping,90.39,2025-02,Food
2025-02-14,Donation,82.25,2025-02,Other
2025-02-05,Bus ticket,21.41,2025-02,Transportation
2025-02-20,Coffee at cafe,51.49,2025-02,Food
2025-02-22,Restaurant bill,77.46,2025-02,Food
2025-02-08,Uber ride,71.77,2025-02,Transportation
2025-02-20,Uber ride,119.46,2025-02,Transportation
2025-02-03,Grocery shopping,139.2,2025-02,Food
2025-02-24,Books,93.69,2025-02,Shopping
2025-02-13,Miscellaneous purchase,119.55,2025-02,Other
2025-02-14,Miscellaneous purchase,38.43,2025-02,Shopping
2025-02-04,Restaurant bill,55.13,2025-02,Food
2025-02-22,Streaming subscription,112.3,2025-02,Entertainment
2025-02-08,Gas refill,39.05,2025-02,Transportation
2025-02-15,Donation,42.59,2025-02,Other
2025-02-15,Grocery shopping,66.15,2025-02,Food
2025-02-17,Restaurant bill,19.61,2025-02,Food
2025-02-22,Movie ticket,99.9,2025-02,Entertainment
2025-02-13,Books,77.49,2025-02,Shopping
2025-02-23,Gas refill,44.08,2025-02,Transportation
2025-02-20,Service fee,28.79,2025-02,Other
2025-02-23,Donation,92.41,2025-02,Other
2025-02-10,Grocery shopping,29.36,2025-02,Food
2025-02-28,Concert,31.34,2025-02,Entertainment
2025-02-15,Restaurant bill,56.01,2025-02,Food
2025-02-12,Gas refill,27.4,2025-02,Transportation
2025-02-28,Movie ticket,94.31,2025-02,Entertainment
